hscode,description,net_wt_kg,assess_value_bdt
08028090,"Other Areca nuts, EXCL. Wrapped/canned upto 2.5 Kg",78,18600
08029919,Betelnuts,487721,121475787
08041011,"Dates, Fresh,Wrapped/Canned Upto 2.5kg",319826,104012602
08041019,"Dates, Fresh, Nes",6903231,1394360832
08041021,"Dates, Dried, Wrapped/Canned Upto 2.5kg",736,130469
08041029,"Dates, Dried, Nes",83096,20899039
08042021,"Figs, Dried,Wrapped/Canned Upto 2.5kg",129,35636
08042029,"Figs, Dried, Nes",11000,2738888
08044090,"Avocados Fresh Or Dried, Nes",1833,920331
08045029,"Mangosteens, Fresh Or Dried, Nes",172,64665
08045039,"Mangoes Fresh Or Dried, Nes",1462,549355
08051090,"Oranges, Fresh Or Dried, Nes",16585211,1593018403
08052190,Mandarins (including tangerines and satsumas),6864385,598421482
08054090,"GRAPEFRUIT, NES",19702,1723926
08055090,"CITRUS FRUIT,FRESH OR DRIED, LEMONS ,NES",73,22862
08059019,"Citrus Fruit, Fresh Nes, Nes",5958448,515964281
08061090,"Fresh Grapes, Nes",6236805,728223714
08062090,"Dried Grapes, Nes",1193265,296949744
08071190,"Watermelons, Fresh, Nes",23,7207
08071990,"Melons, Fresh, (Excl. Watermelons),Nes",126,39453
08072090,"Papaws (Papayas), Fresh, Nes",140,52599
08081090,"Apples, Fresh, Nes",18002842,1567998740
08083090,"Pears, EXCL. Wrapped/canned upto 2.5 Kg",528750,46063625
08091090,"Apricots, Fresh, NES",13,6511
08092190,"Sour cherries (Prunus cerasus), EXCL. Wrapped/canned upto 2.5 Kg",82,61637
08093090,"Peaches, Including Nectarines, Fresh,Nes",104,39326
08094019,Plums EXCL.Wrapped/canned upto 2.5 kg,571,279783
08094099,Sloes EXCL.Wrapped/canned upto 2.5 kg,240,120245
08101010,"Strawberries, Fresh, Wrapped/Canne Upto 2.5kg",9059,4539359
08102010,"Raspberries,Blackberries,Mulberries & Loganberries,Fresh,Wrapped/Cann Upto 2.5kg",123,78701
08103090,"Other Black, white or red currants and gooseberries, EXCL. Wrapped/canned upto 2.5 Kg",41357,1643866
08105090,"Kiwifruit, Fresh, NES",567,280195
08106090,"DURIANS , NES",180,67632
08107090,"Other persimmons, EXCL. Wrapped/canned upto 2.5 Kg",96670,17989440
08109090,"Other Fruit, Fresh, Nes,(Excl. Wrapped/Canned Upto 2.5kg)",4578407,453614050
08111000,"Fruit and nut, uncooked or cooked.... frozen ..sweetening matter, Strawberries",150,75144
08112000,"Raspberries, blackberries, mulberries, loganberries, b/w or red...gooseberries",60,37572
08131090,"Dried Apricots, NES",25000,7159163
08132010,"Dried Prunes,Wrapped/Canned Upto 2.5KG",903,392850
08132090,"Dried Prunes,NES",336150,96267153
08134010,"Other Dried Fruit, Nes, Wrapped/Canned Upto 2.5KG",500,187311
08134090,"Other Dried Fruit, Nes, (Excl. Wrapped/Canned Upto 2.5KG)",1114982,112881955
08135099,"Mixtures Of Dried Fruit And Nuts, Nes, (Excl. Wrapped/Canned Upto 2.5KG)",770,515701
09011190,"Coffee, Not Roasted Or Decaffeinated",24735,24332026
09012110,"Roasted coffee, not decaffeinated,wrapp/cann upto 2.5kg",2100,2528237
09019090,"Coffee husks and skins,coffee substi contain coffee excl. Wrapped/canned upto 2.5 k",83,98144
09021000,"Green Tea,Whether Or Not Flavoured, In Immediate Packings <=3 Kg",2478,3073025
09022000,"Green Tea,Whether Or Not Flavoured, Nes",3302,2612299
09023000,"Black Tea Fermented/Partly Fermented,Flavoured Or Not,In Packings Of <=3kg",485,188295
09024000,"Black Tea Fermented/Partly Fermented,Flavoured Or Not,In Packings Of >3kg",108,55460
09041190,"Pepper, Neither Crushed Nor Ground, Nes",128350,55478727
09041200,"Pepper, Crushed Or Ground",1011,190885
09042190,"Fruits of the genus Capsicum...,: Dried or neither crushed or ground, EXCL.Wrapped/canne",4755414,1307984561
09042210,"Fruits of the genus Capsicum ...,: crushed or ground, Wrapped/canned upto 2.5 Kg",556,363802
09042290,"Fruits of the genus Capsicum...,: crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",1,627
09061110,"Neither crushed nor ground:Cinnamon (Cinnamomum zeylanicum Blume), Wr./Can.upt",8,4845
09061190,"Neither crushed nor ground:Cinnamon (Cinnamo. Zeylan. Blume), Excl. Wr./Can.up",1563280,333821823
09071090,"Cloves (whole fruit, cloves and stems), Neither Crushed or ground, EXCL. Wrapped/canned",90530,45081961
09081190,"Nutmeg :Neither Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",27100,10124196
09082190,"Mace : Neither Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",35750,35614693
09083110,Cardamoms :Neither Crushed or ground. Wrapped/canned upto 2.5 Kg,16,20664
09083190,Cardamoms :Neither Crushed or ground. EXCL. Wrapped/canned upto 2.5 Kg,344871,721485852
09092190,Seeds of coriander : Neither crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,150000,35967875
09092210,Seeds of coriander : Crushed or ground Wrapped/canned upto 2.5 Kg,5,1202
09093110,Seeds of Cumin : Neither crushed or ground Wrapped/canned upto 2.5 Kg,6,1440
09093190,Seeds of Cumin : Neither crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,2238688,970933605
09096110,"Seeds of anise, badian, caraway or fennel; juniper berries : Neither crushed or ground W",4,1002
09096190,"Seeds of anise, badian, caraway...; juniper berries : Neither crushed or ground EXCL. Wr",822740,151416082
09101190,Ginger : Neither Crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,14369406,1711373659
09101290,Ginger : Crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,85,69202
09103010,"Turmeric(Curcuma), Wrapped/Canned upto 2.5 kg",5,1204
09103090,"Turmeric(Curcuma), Nes",1787820,307416256
09109110,MIXTURES REFFERED TO IN NOTE 1(B) TO THIS CHAP WRAP/CAN UPTO 2.5 KG,16285,4080596
09109190,Other,8,8134
09109910,"Other Spices, Nes, Wrapped/Canned upto 2.5 kg",1880,539628
09109990,"Other Spices, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",719459,65789577
10011990,"Durum wheat, Other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",799154597,27592796026
10019990,"Other Seed, NES, EXCL, Wrapped/canned upto 2.5 Kg",35913671,1353805759
10031090,Barley Seed EXCL. Wrapped/canned upto 2.5 Kg,146000,7773985
10039090,Barley other than Seed EXCL. Wrapped/canned upto 2.5 Kg,61750,3325262
10049010,"Oats other than Seed, Wrapped/canned upto 2.5 Kg",1,601
10049090,"Oats other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",15000,1724268
10051010,"Maize Seed, wrapped/canned upto 2.5 kg",441115,224392140
10051090,"Maize Seed, Excl. wrapped/canned upto 2.5 kg",159305,78105261
10059010,"Other Maize, wrapped/canned upto 2.5 kg",10,25050
10059090,"Other Maize, Excluding wrapped/canned upto 2.5 kg",391152801,17319550374
10061010,Rice in the husk (paddy or rough) wrapped/canned upto 2.5 kg,6091,16114604
10061090,Rice in the husk (paddy or rough) Excl. wrapped/canned upto 2.5 kg,4908,16170564
10062000,Husked (Brown) Rice,14,3591
10063019,Semi-Milled Or Wholly Milled Rice,482,60784
10063091,Semi-Milled Or Wholly Milled Rice,293600,57083310
10063099,Semi-Milled Or Wholly Milled Rice,27477485,1428663626
10071090,"Grain sorghum Seed, EXCL. Wrapped/canned upto 2.5 Kg",592000,32502036
11010010,"Wheat Or Meslin Flour, wrapped/canned upto 2.5 kg",4500,422080
11010090,"Wheat Or Meslin Flour, Excl. wrapped/canned upto 2.5 kg",21500,1874793
11022000,Maize (Corn) Flour,288,31189
11029000,"Other Flour Than Of Rye,Maize & Rice Flour",430,151553
11041290,Rolled or flaked grains of oats in bulk,176,26931
11081200,Maize (Corn) Starch,1597675,100747079
11081300,Potato Starch,302030,46095823
11081400,Manioc (Cassava) Starch,324101,27811593
11081900,"Other Starches, Nes",19000,1683650
11090000,"Wheat Gluten, Wheather Or Not Dried",40,10020
12019090,"Soya beans, whether or not broken other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",331368624,18917717883
12024190,"Ground-nuts, not roasted or otherwise cooked, whether in Shell, EXCL. Wrapped/canned up",2729415,273932584
12024290,"Other Ground-nuts, Shelled whether or not broken EXCL. Wrapped/canned upto 2.5 Kg",3655350,389319293
12030000,Copra,3087897,682973495
12051090,"LOW ERUCIC ACID RAPE OR COLZA SEEDS, Nes",78179636,4973750273
12060010,"Sunflower Seeds, Whether Or Not Broken, Wrapped/Canned upto 2.5 kg",226,42537
12060090,"Sunflower Seeds, Whether Or Not Broken, Nes",83000,18606558
12074090,"Sesamum Seeds, Nes",437000,136782532
12075090,"Mustared Seeds, Nes",4982000,375190028
12077010,Melon seeds Wrapped/canned upto 2.5 Kg,957,17257975
12077090,"Other Melon seeds, EXCL. Wrapped/canned upto 2.5 Kg",2572,18769361
12079910,"Other Oil Seeds And Oleaginous Fruits, Nes, Wrapped/Canned upto 2.5 kg",88,53103
12079990,"Other Oil Seeds And Oleaginous Fruits, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",57140,11388252
12093000,Seeds Of Herbaceous Plants Cultivated Principally For Their Flowers,287,161205
12099100,Vegetable Seeds Of A Kind Used For Sowing,87011,211697025
12099990,Other than Tobacco Seeds,6,3724
12119019,"Plants Or Parts,Used In Perfumery, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",50,17652
12119029,"Plants Or Parts, Used In Pharmacy, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",842760,193771080
12119091,"Plants Or Parts, Used In Insecticide..., Similar Purpose,Nes, Wrap./Cann upto 2.5 kg",10582,1830892
12119099,"Plants Or Parts, Used In Insecticide..., Similar Purpose,Nes, Wrap./Cann upto 2.5 kg",2118570,98488265
12122119,Seaweeds and other algae: Fit for human consumption EXCL. Wrapped/canned upto 2.5 Kg,4100,7570860
12122911,Seaweeds and other algae: Other than Fit for human consumption Wrapped/canned upto 2.5,25,6263
12122919,Seaweeds and other algae: Other than Fit for human consumption EXCL. Wrapped/canned upto,144000,12265067
12129990,"Vegetable Products Used Primarily For Human..,Fresh/Drd Nes,(Excl. Wrap/Can upto 2.5 kg)",550,25171483
12130010,"Cereal Straw And Husks, Wrapped/Canned upto 2.5 kg",5,2960
12130090,"Cereal Straw And Husks, Nes",1,627
12149090,"Other Forage Products, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",11,5511
13012000,Gum Arabic,8005,2052684
13019000,"Natural gums, resins, gum-resins,natural oleoresesins and balsams (excl. gum arabic)",401316,134140780
13021900,"Other Vegetable Saps And Extracts,Nes(Exl.Opium,Liquorice,Hops,Pyrethrum).",6258,65678596
13022000,"Pectic Substances, Pectinates And Pectates",64503,65104641
13023200,"Mucilages And Thickeners Of Locust Beans, Bean Seeds And Guar Seeds",16450,16404255
13023900,"Mucilages&Thickeners,Derived From Veg.Prod.(Ex.Locastbeans/Seeds,Guarseeds",6448,1949240
14011000,Bamboos,55004,3445832
14049091,"Vegetable Products, Nes Wraped/Canned upto 2.5 kg",2838,604203
14049099,"Vegetable Products, Nes (Excl. Wrapped/Canned upto 2.5 kg)",93066,67084526
15041000,Fish-Liver Oils And Their Fractions,10714,21080920
15042000,"Fish Fats, Oils And Fractions (Excl. Fish Liver Oils)",134320,39248065
15050000,Wool grease and fatty substances derived therefrom(including lanolin).,2600,4507460
15071000,"CRUDE OIL, WHETHER OR NOT DEGUMMED",37849359,5463445816
15079010,Refined Soya-Bean Oil,15035,11597368
15079090,Other Soya-Bean Oil,210,1105353
15089000,"Ground-Nut Oil (Excl. Crude) And Fractions,Not Che.Modified",1490,886492
15092010,Extra virgin olive oil,20668,16392819
15092090,Extra virgin olive oil,152,75175
15093010,Virgin olive oil,24,15803
15093090,Virgin olive oil,16000,9986012
15094010,Other virgin olive oils,2410,1775950
15099010,Olive oil and fractions (excl. virgin) wrapped/canned upto 2.5kg,26218,10144159
15099090,Olive oil and fractions (excl. virgin) Excl. wrapped/canned upto 2.5kg,1539,3023654
15109000,"Crude olive pomace oil, OTHERS",48,30022
15119011,Rbd Palm Stearin,1402270,216221133
15119019,Solidified Or Hardened By Mechanical Treatment(Excl. Rbd Palm Stearin),2,1254
15119090,Palm Oil(Excl.Cude)&Its Fractns....Nes.Incld.Refiend Palm Oil,155713824,20780676837
15121100,Crude Sunflower-Seed Oil And Safflower Oil,550,313440
15121900,Sunflower-Seed And Safflower Oil (Excl. Crude) And Fractions Thereof,1610413,318615582
15122900,"Refined Cotton-Seed Oil & Its Fractns, Not Chemically Modifd",0,1241
15131100,Crude Coconut (Copra) Oil,618,336840
15131900,"Coconut (copra) oil (excl. crude) & its fractions, refined or not but not chem. modified",119326,27523760
15132100,Crude Palm Kernel Or Babassu Oil,344000,90459955
15132900,"Refined Palm Kernel/Babassu Oil & Fractions,Not Chem.Modifd",508731,111891788
15149900,"RAPE,COLZA OR MUSTARD OIL&FRAC.THEREOF,WHET.OR NOT REF.BUT NOT CHE.MOD.NES",10003,2835796
15151900,"Refined Inseed Oil & Fractions,Not Chemically Modified",3790,1300963
15153000,Castor Oil And Its Fractions,16428,5095304
15155000,Sesame Oil And Fractions,16952,2324444
15159000,"Oth.Fixed Veg.Oil,Fats & Frac.,Nes(Ex.Maize/Castor/Tung/Sesamre/Jojobaoil)",1416,1702869
15161000,"Animal Fats And Oils And Fractions, Hydrogenated, Etc",145,777643
15162000,"Vegetable fats and oils and their fractions, hydrogenated, etc",1409970,314298552
15163000,Microbial fats and oils and their fractions,751,3018527
15171010,"Margarine, excluding liquid margarine in 10kg or above packing",726991,124452156
15179000,"Edible Preparations Of Animal/Veg.Fats And Oils,Nes Incld.Liquid Margarine",66724,17985982
15180000,"Animal Or Vegetable Fats And Oils... Chemically Modified, Nes",555525,83841537
15211000,Vegetable waxes (excl. triglycerides),620,1505913
16010000,"Sausages &Similar Prod.;Of Meat,Meat Offal,Blood,Prep.Based On These Prod.",20960,8043189
16023200,"Prepared/Preserved Meat,Offal/Blood Of Fowls Of Species Gallus Domesticus",97996,19201265
16025000,Preparations Of Meat Of Bovine Animals,36809,18746050
16041400,"Prep./Preserved Tuna,Skipjack & Bonito Ex.Minced Whole/Inpieces",1937,968024
16051000,"Crab, Prepared Or Preserved",50,25048
17011400,Other cane sugar,245888849,12437130082
17019900,"Cane Or Beet Sugar, In Solid Form, Nes Including Chemically Kue Sucoose",6324293,518132610
17021100,Lactose And Lactose Syrup Cont.By Weight>=99% Lactose Calc. On Dry Matter,415300,155532880
17022000,Maple Sugar And Maple Syrup,4853,924233
17023010,"Dextrose, Anhydrous/Monohydrate Bp/Vsp Pyrogen Free",935700,81675184
17023020,"Glucose & Glucose Syrup,Containing <20% Fructose,Liquid Glucose",24000,3920763
17023090,"GLUCOSE AND GLUCOSE SYRUP, NOT CONTAINING FRUCTOSE OR CONTAINING.. EXCL. LIQUID GLUCO",21060,1747239
17029000,"Artificial honey, caramel and other sugars (incl. invert sugar), nes",1291901,96966505
17031000,Cane Molasses Resulting From The Extraction Or Refining Of Sugar,120210,4640007
17041010,"Chewing Gum Not Containing Cocoa, TV",4852,1823166
17041090,Chewing gum excl. Put up for retail sale,10018,3742415
17049010,"Sugar confe (incl. white chocolate), not cont cocoa,nes Put up for retail sale",87860,33022359
17049090,"Sugar confei (incl. whit chocole), not cont cocoa, nes excl. Put up for retail sale",24690,9246416
18010000,"Cocoa Beans, Whole Or Broken, Raw Or Roasted",25003,25024815
18040000,"Cocoa Butter, Fat And Oil",265,956290
18050000,"Cocoa Powder, Not Containing Added Sugar Or Other Sweetening Matter",306938,61249991
18061000,"Cocoa Powder, Containing Added Sugar Or Other Sweetening Matter",2768,923615
18062000,"OTHER PREPARATIONS IN BLOCKS, SLABS OR BARS WEIGHING MORE THAN 2 KG, OR IN LIQUID..",42110,10659263
18063100,"Chocolate, Etc, Containing Cocoa, In Blocks, Slabs Or Bars, Filled, TV",45787,57261374
18063200,"Chocolate, Etc, Containing Cocoa In Blocks, Slabs Or Bars, Not Filled, TV",930,1199779
18069000,"OTHER CHOCOLATE & OTHER FOOD PREPARA. CONTAININGS COCOA, EXCL. FILLED/NOT FILLE, TV",6197,5963647
19011000,"Preparations suitable for infants or young children, put up for retail sale",106782,67452478
19012000,Mixes And Doughs For Preparation Of Bakers' Wares Of 19.05,343205,46951218
19019011,Filled milk powder,2121455,726292683
19019019,food prep's of goods excl. Filled milk powder imp by VAT reg milk products manu ind,20,37572
19019020,Dry mixed ingredients of food preparations,327667,103617533
19019030,Preparations for infant or young children in bulk imported by VAT registered food ind,413280,202878109
19019050,NUTRITIONAL SUPP.FOR PREGNANT WOMEN...BY VAT REG. REG.FODD PROCESSIN INDUSTY.,8,4488
19019090,,207725,40577976
19019099,Imported in bulk by other than VAT registered food processing industries,4,2640
19021900,"Uncooked Pasta, Not Containing Eggs, Not Stuffed",63770,8082696
19023000,"Other Pasta, Nes",181110,21612523
19030000,"Tapioca & Substitutes Prpd.From Starch In Flakes,Grains,Pearls,Sifting Etc",1499383,114912605
19041000,Prepared food obtained by the swelling or roasting of cereals or cereal products,182951,60293246
19042000,Prepared Foods Obtned From Unroasted Cereal Flakes/Mixtures Unroasted/Rstd,2141,1057234
19049000,"Cereals In Grain,Flakes,Worked Grains,Precooked,Otherwise Prepared, Nes",33622,11684648
19051000,Crispbread,2132,1136538
19053100,"SWEET BISCUITS, TV",29923,14985989
19053200,"WAFFLES AND WAFERS, TV",54472,30674924
19054000,"Rusks, Toasted Bread And Similar Toasted Products",730,607195
19059000,"Pastry,Cakes,Other Bread, Etc, Nes; Communion Wafers, Rice Paper, Etc, TV",16250,9271964
20011000,"Cucumbers And Gherkins,Prepared On Preserved By Vinegar Or Acetic Acid",2507,312474
